year,pick,team,player,position,link
1991,13,IND,Dale Davis,Center,https://www.basketball-reference.com//players/d/davisda01.html
1991,14,SEA,Rich King,Center,https://www.basketball-reference.com//players/k/kingri01.html
1991,15,ATL,Anthony Avent,Power,https://www.basketball-reference.com//players/a/aventan01.html
1991,16,GSW,Chris Gatling,Power,https://www.basketball-reference.com//players/g/gatlich01.html
1991,17,GSW,Victor Alexander,Center,https://www.basketball-reference.com//players/a/alexavi01.html
1991,18,MIL,Kevin Brooks,Small,https://www.basketball-reference.com//players/b/brookke01.html
1991,19,WSB,LaBradford Smith,Shooting,https://www.basketball-reference.com//players/s/smithla02.html
1991,20,HOU,John Turner,Small,https://www.basketball-reference.com//players/t/turnejo01.html
1991,21,UTA,Eric Murdock,Point,https://www.basketball-reference.com//players/m/murdoer01.html
1991,22,LAC,LeRon Ellis,Center,https://www.basketball-reference.com//players/e/ellisle02.html
1991,23,ORL,Stanley Roberts,Center,https://www.basketball-reference.com//players/r/roberst01.html
1991,24,BOS,Rick Fox,Small,https://www.basketball-reference.com//players/f/foxri01.html
1991,25,GSW,Shaun Vandiver,Unknown,https://www.basketball-reference.com//players/v/vandish01.html
1991,26,CHI,Mark Randall,Power,https://www.basketball-reference.com//players/r/randama01.html
1991,27,SAC,Pete Chilcutt,Power,https://www.basketball-reference.com//players/c/chilcpe01.html
1991,28,CHH,Kevin Lynch,Shooting,https://www.basketball-reference.com//players/l/lynchke01.html
1991,29,MIA,George Ackles,Unknown,https://www.basketball-reference.com//players/a/acklege01.html
1991,30,ATL,Rodney Monroe,Shooting,https://www.basketball-reference.com//players/m/monroro01.html
1991,31,SAC,Randy Brown,Point,https://www.basketball-reference.com//players/b/brownra02.html
1991,32,PHO,Chad Gallagher,Center,https://www.basketball-reference.com//players/g/gallach01.html
1991,33,DAL,Donald Hodge,Center,https://www.basketball-reference.com//players/h/hodgedo01.html
1991,34,MIN,Myron Brown,Point,https://www.basketball-reference.com//players/b/brownmy01.html
1991,35,DAL,Mike Iuzzolino,Point,https://www.basketball-reference.com//players/i/iuzzomi01.html
1991,36,ORL,Chris Corchiani,Point,https://www.basketball-reference.com//players/c/corchch01.html
1991,37,LAC,Elliot Perry,Point,https://www.basketball-reference.com//players/p/perryel01.html
1991,38,LAC,Joe Wylie,Unknown,https://www.basketball-reference.com//players/w/wyliejo01.html
1991,39,CLE,Jimmy Oliver,Shooting,https://www.basketball-reference.com//players/o/oliveji01.html
1991,40,DET,Doug Overton,Point,https://www.basketball-reference.com//players/o/overtdo01.html
1991,41,IND,Sean Green,Shooting,https://www.basketball-reference.com//players/g/greense01.html
1991,42,SAC,Steve Hood,Unknown,https://www.basketball-reference.com//players/h/hoodst01.html
1991,43,GSW,Lamont Strothers,Shooting,https://www.basketball-reference.com//players/s/strotla01.html
1991,44,PHI,Alvaro Teheran,Unknown,https://www.basketball-reference.com//players/t/teheral01.html
1991,45,MIL,Bobby Phills,Shooting,https://www.basketball-reference.com//players/p/phillbo01.html
1991,46,PHO,Richard Dumas,Small,https://www.basketball-reference.com//players/d/dumasri02.html
1991,47,HOU,Keith Hughes,Unknown,https://www.basketball-reference.com//players/h/hugheke02.html
1991,48,UTA,Isaac Austin,Center,https://www.basketball-reference.com//players/a/austiis01.html
1991,49,SAS,Greg Sutton,Point,https://www.basketball-reference.com//players/s/suttogr01.html
1991,50,PHO,Joey Wright,Unknown,https://www.basketball-reference.com//players/w/wrighjo02.html
1991,51,HOU,Žan Tabak,Center,https://www.basketball-reference.com//players/t/tabakza01.html
1991,52,LAL,Anthony Jones,Unknown,https://www.basketball-reference.com//players/j/jonesan02.html
1991,53,NJN,Von McDade,Unknown,https://www.basketball-reference.com//players/m/mcdadvo01.html
1991,54,POR,Marcus Kennedy,Unknown,https://www.basketball-reference.com//players/k/kennema01.html
1992,1,ORL,Shaquille O'Neal,Center,https://www.basketball-reference.com//players/o/onealsh01.html
1992,2,CHH,Alonzo Mourning,Center,https://www.basketball-reference.com//players/m/mournal01.html
1992,3,MIN,Christian Laettner,Power,https://www.basketball-reference.com//players/l/laettch01.html
1992,4,DAL,Jim Jackson,Small,https://www.basketball-reference.com//players/j/jacksji01.html
1992,5,DEN,LaPhonso Ellis,Power,https://www.basketball-reference.com//players/e/ellisla01.html
1992,6,WSB,Tom Gugliotta,Power,https://www.basketball-reference.com//players/g/guglito01.html
1992,7,SAC,Walt Williams,Small,https://www.basketball-reference.com//players/w/williwa02.html
1992,8,MIL,Todd Day,Shooting,https://www.basketball-reference.com//players/d/dayto01.html
1992,9,PHI,Clarence Weatherspoon,Power,https://www.basketball-reference.com//players/w/weathcl01.html
1992,10,ATL,Adam Keefe,Power,https://www.basketball-reference.com//players/k/keefead01.html
1992,11,HOU,Robert Horry,Power,https://www.basketball-reference.com//players/h/horryro01.html
1992,12,MIA,Harold Miner,Shooting,https://www.basketball-reference.com//players/m/minerha01.html
1992,13,DEN,Bryant Stith,Shooting,https://www.basketball-reference.com//players/s/stithbr01.html
1992,14,IND,Malik Sealy,Small,https://www.basketball-reference.com//players/s/sealyma01.html
1992,15,LAL,Anthony Peeler,Shooting,https://www.basketball-reference.com//players/p/peelean01.html
1992,16,LAC,Randy Woods,Point,https://www.basketball-reference.com//players/w/woodsra01.html
1992,17,SEA,Doug Christie,Shooting,https://www.basketball-reference.com//players/c/chrisdo01.html
1992,18,SAS,Tracy Murray,Small,https://www.basketball-reference.com//players/m/murratr01.html
1992,19,DET,Don MacLean,Small,https://www.basketball-reference.com//players/m/macledo01.html
1992,20,NYK,Hubert Davis,Shooting,https://www.basketball-reference.com//players/d/davishu01.html
1992,21,BOS,Jon Barry,Shooting,https://www.basketball-reference.com//players/b/barryjo01.html
1992,22,PHO,Oliver Miller,Center,https://www.basketball-reference.com//players/m/milleol01.html
1992,23,MIL,Lee Mayberry,Point,https://www.basketball-reference.com//players/m/maybele01.html
1992,24,GSW,Latrell Sprewell,Small,https://www.basketball-reference.com//players/s/sprewla01.html
1992,25,LAC,Elmore Spencer,Center,https://www.basketball-reference.com//players/s/spencel01.html
1992,26,POR,Dave Johnson,Shooting,https://www.basketball-reference.com//players/j/johnsda01.html
1992,27,CHI,Byron Houston,Power,https://www.basketball-reference.com//players/h/houstby01.html
1992,28,MIN,Marlon Maxey,Power,https://www.basketball-reference.com//players/m/maxeyma01.html
1992,29,NJN,P.J. Brown,Power,https://www.basketball-reference.com//players/b/brownpj01.html
1992,30,DAL,Sean Rooks,Center,https://www.basketball-reference.com//players/r/rooksse01.html
1992,31,POR,Reggie Smith,Power,https://www.basketball-reference.com//players/s/smithre01.html
1992,32,WSB,Brent Price,Point,https://www.basketball-reference.com//players/p/pricebr01.html
1992,33,CHI,Corey Williams,Point,https://www.basketball-reference.com//players/w/willico01.html
1992,34,MIN,Chris Smith,Shooting,https://www.basketball-reference.com//players/s/smithch03.html
1992,35,CHH,Tony Bennett,Point,https://www.basketball-reference.com//players/b/benneto01.html
1992,36,LAL,Duane Cooper,Point,https://www.basketball-reference.com//players/c/coopedu01.html
1992,37,MIA,Isaiah Morris,Small,https://www.basketball-reference.com//players/m/morriis01.html
1992,38,ATL,Elmer Bennett,Point,https://www.basketball-reference.com//players/b/benneel01.html
1992,39,CHI,Litterial Green,Point,https://www.basketball-reference.com//players/g/greenli01.html
1992,40,NJN,Steve Rogers,Unknown,https://www.basketball-reference.com//players/r/rogerst01.html
1992,41,HOU,Popeye Jones,Power,https://www.basketball-reference.com//players/j/jonespo01.html
1992,42,MIA,Matt Geiger,Center,https://www.basketball-reference.com//players/g/geigema01.html
1992,43,GSW,Sasha Danilović,Shooting,https://www.basketball-reference.com//players/d/danilsa01.html
1992,44,SAS,Henry Williams,Unknown,https://www.basketball-reference.com//players/w/willihe02.html
1992,45,SEA,Chris King,Small,https://www.basketball-reference.com//players/k/kingch01.html
1992,46,DEN,Robert Werdann,Center,https://www.basketball-reference.com//players/w/werdaro01.html
1992,47,BOS,Darren Morningstar,Center,https://www.basketball-reference.com//players/m/mornida01.html
1992,48,PHO,Brian Davis,Small,https://www.basketball-reference.com//players/d/davisbr02.html
1992,49,PHO,Ron Ellis,Unknown,https://www.basketball-reference.com//players/e/ellisro01.html
1992,50,GSW,Matt Fish,Center,https://www.basketball-reference.com//players/f/fishma01.html
1992,51,MIN,Tim Burroughs,Unknown,https://www.basketball-reference.com//players/b/burroti01.html
1992,52,CHI,Matt Steigenga,Small,https://www.basketball-reference.com//players/s/steigma01.html
1992,53,HOU,Curtis Blair,Unknown,https://www.basketball-reference.com//players/b/blaircu01.html
1992,54,SAC,Brett Roberts,Unknown,https://www.basketball-reference.com//players/r/roberbr02.html
1993,1,ORL,Chris Webber,Power,https://www.basketball-reference.com//players/w/webbech01.html
1993,2,PHI,Shawn Bradley,Center,https://www.basketball-reference.com//players/b/bradlsh01.html
1993,3,GSW,Anfernee Hardaway,Shooting,https://www.basketball-reference.com//players/h/hardaan01.html
1993,4,DAL,Jamal Mashburn,Small,https://www.basketball-reference.com//players/m/mashbja01.html
1993,5,MIN,Isaiah Rider,Shooting,https://www.basketball-reference.com//players/r/rideris01.html
1993,6,WSB,Calbert Cheaney,Shooting,https://www.basketball-reference.com//players/c/cheanca01.html
1993,7,SAC,Bobby Hurley,Point,https://www.basketball-reference.com//players/h/hurlebo01.html
1993,8,MIL,Vin Baker,Power,https://www.basketball-reference.com//players/b/bakervi01.html
1993,9,DEN,Rodney Rogers,Small,https://www.basketball-reference.com//players/r/rogerro01.html
1993,10,DET,Lindsey Hunter,Point,https://www.basketball-reference.com//players/h/hunteli01.html
1993,11,DET,Allan Houston,Shooting,https://www.basketball-reference.com//players/h/houstal01.html
1993,12,LAL,George Lynch,Small,https://www.basketball-reference.com//players/l/lynchge01.html
1993,13,LAC,Terry Dehere,Point,https://www.basketball-reference.com//players/d/deherte01.html
1993,14,IND,Scott Haskin,Center,https://www.basketball-reference.com//players/h/haskisc01.html
1993,15,ATL,Doug Edwards,Power,https://www.basketball-reference.com//players/e/edwardo01.html
1993,16,NJN,Rex Walters,Shooting,https://www.basketball-reference.com//players/w/waltere01.html
1993,17,CHH,Greg Graham,Shooting,https://www.basketball-reference.com//players/g/grahagr01.html
1993,18,UTA,Luther Wright,Center,https://www.basketball-reference.com//players/w/wrighlu01.html
1993,19,BOS,Acie Earl,Center,https://www.basketball-reference.com//players/e/earlac01.html
1993,20,CHH,Scott Burrell,Small,https://www.basketball-reference.com//players/b/burresc01.html
1993,21,POR,James Robinson,Point,https://www.basketball-reference.com//players/r/robinja02.html
1993,22,CLE,Chris Mills,Small,https://www.basketball-reference.com//players/m/millsch01.html
1993,23,SEA,Ervin Johnson,Center,https://www.basketball-reference.com//players/j/johnser02.html
1993,24,HOU,Sam Cassell,Point,https://www.basketball-reference.com//players/c/cassesa01.html
1993,25,CHI,Corie Blount,Power,https://www.basketball-reference.com//players/b/blounco01.html
1993,26,ORL,Geert Hammink,Center,https://www.basketball-reference.com//players/h/hammige01.html
1993,27,PHO,Malcolm Mackey,Center,https://www.basketball-reference.com//players/m/mackema01.html
1993,28,DAL,Lucious Harris,Shooting,https://www.basketball-reference.com//players/h/harrilu01.html
1993,29,MIN,Sherron Mills,Unknown,https://www.basketball-reference.com//players/m/millssh01.html
1993,30,WSB,Gheorghe Mureșan,Center,https://www.basketball-reference.com//players/m/muresgh01.html
1993,31,SAC,Evers Burns,Power,https://www.basketball-reference.com//players/b/burnsev01.html
1993,32,PHI,Alphonso Ford,Shooting,https://www.basketball-reference.com//players/f/fordal01.html
1993,33,DAL,Eric Riley,Center,https://www.basketball-reference.com//players/r/rileyer01.html
1993,34,GSW,Darnell Mee,Shooting,https://www.basketball-reference.com//players/m/meeda01.html
1993,35,MIA,Ed Stokes,Center,https://www.basketball-reference.com//players/s/stokeed01.html
1993,36,NJN,John Best,Unknown,https://www.basketball-reference.com//players/b/bestjo01.html
1993,37,LAL,Nick Van Exel,Point,https://www.basketball-reference.com//players/v/vanexni01.html
1993,38,WSB,Conrad McRae,Unknown,https://www.basketball-reference.com//players/m/mcraeco01.html
1993,39,IND,Thomas Hill,Unknown,https://www.basketball-reference.com//players/h/hillth01.html
1993,40,ATL,Rich Manning,Power,https://www.basketball-reference.com//players/m/manniri01.html
1993,41,CHI,Anthony Reed,Unknown,https://www.basketball-reference.com//players/r/reedan01.html
1993,42,SEA,Adonis Jordan,Point,https://www.basketball-reference.com//players/j/jordaad01.html
1993,43,DEN,Josh Grant,Power,https://www.basketball-reference.com//players/g/grantjo01.html
1993,44,SAC,Alex Holcombe,Unknown,https://www.basketball-reference.com//players/h/holcoal01.html
1993,45,UTA,Bryon Russell,Small,https://www.basketball-reference.com//players/r/russebr01.html
1993,46,HOU,Richard Petruška,Center,https://www.basketball-reference.com//players/p/petruri01.html
1993,47,SAS,Chris Whitney,Point,https://www.basketball-reference.com//players/w/whitnch01.html
1993,48,POR,Kevin Thompson,Center,https://www.basketball-reference.com//players/t/thompke01.html
1993,49,PHO,Mark Buford,Unknown,https://www.basketball-reference.com//players/b/buforma01.html
1993,50,HOU,Marcelo Nicola,Unknown,https://www.basketball-reference.com//players/n/nicolma01.html
1993,51,IND,Spencer Dunkley,Unknown,https://www.basketball-reference.com//players/d/dunklsp01.html
1993,52,SAC,Mike Peplowski,Center,https://www.basketball-reference.com//players/p/peplomi01.html
1993,53,LAC,Leonard White,Unknown,https://www.basketball-reference.com//players/w/whitele01.html
1993,54,PHO,Byron Wilson,Unknown,https://www.basketball-reference.com//players/w/wilsoby01.html
1994,1,MIL,Glenn Robinson,Small,https://www.basketball-reference.com//players/r/robingl01.html
1994,2,DAL,Jason Kidd,Point,https://www.basketball-reference.com//players/k/kiddja01.html
1994,3,DET,Grant Hill,Small,https://www.basketball-reference.com//players/h/hillgr01.html
1994,4,MIN,Donyell Marshall,Power,https://www.basketball-reference.com//players/m/marshdo01.html
1994,5,WSB,Juwan Howard,Power,https://www.basketball-reference.com//players/h/howarju01.html
1994,6,PHI,Sharone Wright,Center,https://www.basketball-reference.com//players/w/wrighsh01.html
1994,7,LAC,Lamond Murray,Small,https://www.basketball-reference.com//players/m/murrala01.html
1994,8,SAC,Brian Grant,Power,https://www.basketball-reference.com//players/g/grantbr01.html
1994,9,BOS,Eric Montross,Center,https://www.basketball-reference.com//players/m/montrer01.html
1994,10,LAL,Eddie Jones,Shooting,https://www.basketball-reference.com//players/j/jonesed02.html
1994,11,SEA,Carlos Rogers,Power,https://www.basketball-reference.com//players/r/rogerca01.html
1994,12,MIA,Khalid Reeves,Point,https://www.basketball-reference.com//players/r/reevekh01.html
1994,13,DEN,Jalen Rose,Small,https://www.basketball-reference.com//players/r/roseja01.html
