Year,Pick,Team,Player,Position
1995,49,MIN,Jerome Allen,Shooting
1995,50,GSW,Martin Lewis,Small
1995,51,SAC,Dejan Bodiroga,Unknown
1995,52,IND,Fred Hoiberg,Shooting
1995,53,LAC,Constantin Popa,Unknown
1995,54,SEA,Aurelijius Zukauskas,Unknown
1995,55,GSW,Michael McDonald,Center
1995,56,PHO,Chris Carr,Shooting
1995,57,ATL,Cuonzo Martin,Shooting
1995,58,DET,Don Reid,Power
1996,1,PHI,Allen Iverson,Shooting
1996,2,TOR,Marcus Camby,Center
1996,3,VAN,Shareef Abdur-Rahim,Power
1996,4,MIL,Stephon Marbury,Point
1996,5,MIN,Ray Allen,Shooting
1996,6,BOS,Antoine Walker,Power
1996,7,LAC,Lorenzen Wright,Center
1996,8,NJN,Kerry Kittles,Shooting
1996,9,DAL,Samaki Walker,Power
1996,10,IND,Erick Dampier,Center
1996,11,GSW,Todd Fuller,Center
1996,12,CLE,Vitaly Potapenko,Center
1996,13,CHH,Kobe Bryant,Shooting
1996,14,SAC,Peja Stojaković,Small
1996,15,PHO,Steve Nash,Point
1996,16,CHH,Tony Delk,Point
1996,17,POR,Jermaine O'Neal,Center
1996,18,NYK,John Wallace,Small
1996,19,NYK,Walter McCarty,Power
1996,20,CLE,Zydrunas Ilgauskas,Center
1996,21,NYK,Dontae' Jones,Small
1996,22,VAN,Roy Rogers,Power
1996,23,DEN,Efthimios Rentzias,Center
1996,24,LAL,Derek Fisher,Point
1996,25,UTA,Martin Müürsepp,Power
1996,26,DET,Jerome Williams,Power
1996,27,ORL,Brian Evans,Small
1996,28,ATL,Priest Lauderdale,Center
1996,29,CHI,Travis Knight,Center
1996,30,HOU,Othella Harrington,Power
1996,31,PHI,Mark Hendrickson,Power
1996,32,PHI,Ryan Minor,Unknown
1996,33,MIL,Moochie Norris,Point
1996,34,DAL,Shawn Harvey,Unknown
1996,35,SEA,Joseph Blair,Unknown
1996,36,LAC,Doron Sheffer,Unknown
1996,37,DEN,Jeff McInnis,Point
1996,38,BOS,Steve Hamer,Center
1996,39,PHO,Russ Millard,Unknown
1996,40,GSW,Marcus Mann,Unknown
1996,41,SAC,Jason Sasser,Small
1996,42,HOU,Randy Livingston,Point
1996,43,PHO,Ben Davis,Power
1996,44,CHH,Malik Rose,Power
1996,45,SEA,Joe Vogel,Unknown
1996,46,POR,Marcus Brown,Shooting
1996,47,SEA,Ron Riley,Unknown
1996,48,PHI,Jamie Feick,Center
1996,49,ORL,Amal McCaskill,Center
1996,50,HOU,Terrell Bell,Unknown
1996,51,VAN,Chris Robinson,Shooting
1996,52,IND,Mark Pope,Power
1996,53,MIL,Jeff Nordgaard,Power
1996,54,UTA,Shandon Anderson,Shooting
1996,55,WSB,Ronnie Henderson,Unknown
1996,56,CLE,Reggie Geary,Point
1996,57,SEA,Drew Barry,Point
1996,58,DAL,Darnell Robinson,Unknown
1997,1,SAS,Tim Duncan,Center
1997,2,PHI,Keith Van Horn,Small
1997,3,BOS,Chauncey Billups,Point
1997,4,VAN,Antonio Daniels,Point
1997,5,DEN,Tony Battie,Center
1997,6,BOS,Ron Mercer,Shooting
1997,7,NJN,Tim Thomas,Small
1997,8,GSW,Adonal Foyle,Center
1997,9,TOR,Tracy McGrady,Shooting
1997,10,MIL,Danny Fortson,Power
1997,11,SAC,Tariq Abdul-Wahad,Shooting
1997,12,IND,Austin Croshere,Power
1997,13,CLE,Derek Anderson,Shooting
1997,14,LAC,Maurice Taylor,Power
1997,15,DAL,Kelvin Cato,Center
1997,16,CLE,Brevin Knight,Point
1997,17,ORL,Johnny Taylor,Small
1997,18,POR,Chris Anstey,Center
